,name,num_bear,Country,Corporate tax,pagerank_score,CPI score 2015,eigen_score
0,DECARIA COMPANY LTD.,2,Samoa,27.0,0.4135822580645161,52,4.802
1,DRAGONTLY TELECOMMUNICATIONS INC.,15,Samoa,27.0,2.0638010204081625,52,19.208
2,DRAGONTLY TELECOMMUNICATIONS INC.,15,Samoa,27.0,2.0638010204081625,52,1.2
3,DRAGONTLY TELECOMMUNICATIONS INC.,15,Samoa,27.0,0.1513010204081633,52,19.208
4,DRAGONTLY TELECOMMUNICATIONS INC.,15,Samoa,27.0,0.1513010204081633,52,1.2
5,NUKA B.V.,1,Samoa,27.0,0.2788010204081633,52,2.401
6,NUKA B.V.,1,Samoa,27.0,0.2788010204081633,52,1.2
7,NUKA B.V.,1,Samoa,27.0,0.1513010204081633,52,2.401
8,NUKA B.V.,1,Samoa,27.0,0.1513010204081633,52,1.2
9,PALLISSER & PENDERGAST INC.,1,Samoa,27.0,0.2788010204081633,52,2.401
10,PALLISSER & PENDERGAST INC.,1,Samoa,27.0,0.2788010204081633,52,1.2
11,PALLISSER & PENDERGAST INC.,1,Samoa,27.0,0.1513010204081633,52,2.401
12,PALLISSER & PENDERGAST INC.,1,Samoa,27.0,0.1513010204081633,52,1.2
13,LONEY TRADING LTD.,2,Samoa,27.0,0.4704743035190616,52,6.002
14,BARYK INVESTMENTS LTD.,2,Samoa,27.0,0.6139591330645163,52,8.403
15,CBA INTERNATIONAL CORP.,2,Samoa,27.0,0.5325822580645162,52,6.002
16,CHIQUE TRADING CORPORATION,54,Samoa,27.0,7.035082258064523,52,66.027
17,EFFECTIVE INVESTMENTS GROUP INC.,2,Samoa,27.0,0.4050822580645161,52,3.601
18,CHEMICAL GROUP CONSULTANCY INC.,8,Samoa,27.0,1.2975822580645162,52,12.005
19,PORTSBAY LIMITED,20,Samoa,27.0,2.709189400921658,52,26.411
20,BW TRADING ASSOCIATES LIMITED,28,Samoa,27.0,3.813454427447504,52,38.416
21,YANTEI GROUP LTD.,5,Samoa,27.0,0.7888010204081634,52,7.203
22,YANTEI GROUP LTD.,5,Samoa,27.0,0.7888010204081634,52,7.203
23,YANTEI GROUP LTD.,5,Samoa,27.0,0.7888010204081634,52,7.203
24,YANTEI GROUP LTD.,5,Samoa,27.0,0.7888010204081634,52,7.203
25,YANTEI GROUP LTD.,5,Spain,25.0,0.7888010204081634,58,7.203
26,YANTEI GROUP LTD.,5,Spain,25.0,0.7888010204081634,58,7.203
